学期,课程名称,课程性质,学分,成绩,绩点,课程归属,开课学院,课程类别
2,思想道德修养与法律基础,必修,2.0,88,3.70,特色类,马克思主义学院,通识教育课
1,中国近现代史纲要,必修,2.0,82,3.30,特色类,马克思主义学院,通识教育课
2,毛泽东思想和中国特色社会主义理论体系概论,必修,3.0,85,3.30,特色类,马克思主义学院,通识教育课
1,马克思主义基本原理,必修,3.0,86,3.70,特色类,马克思主义学院,通识教育课
1,高等数学A-1,必修,4.0,93,4.00,自然类,数理科学学院,通识教育课
1,基础英语,必修,4.0,78,2.70,特色类,外国语言文学学院,通识教育课
2,高等数学A-2,必修,4.0,89,3.70,自然类,数理科学学院,通识教育课
1,军事理论,必修,1.0,91,4.00,特色类,党委学生工作部、学生事务部,通识教育课
1,大学体育-6,必修,0.0,78,2.70,特色类,体育学院,通识教育课
1,大学体育-3,必修,1.0,85,3.30,特色类,体育学院,通识教育课
2,大学体育-2,必修,1,83,3.30,特色类,体育学院,通识教育课
1,大学体育-1,必修,1.0,92,4.00,特色类,体育学院,通识教育课
1,军训,必修,1.0,85,3.30,特色类,党委学生工作部、学生事务部,通识教育课
2,大学体育-4,必修,1.0,86,3.70,特色类,体育学院,通识教育课
1,形势与政策,必修,0.0,90,4.00,特色类,马克思主义学院,通识教育课
2,大学体育-5,必修,0.0,良好,3.50,特色类,体育学院,通识教育课
2,就业指导,必修,1.0,94,4.00,特色类,党委学生工作部、学生事务部,通识教育课
2,文献检索,必修,1.0,85,3.30,,信息服务部,学科基础课
1,概率论,必修,2.0,92,4.00,,数理科学学院,学科基础课
2,线性代数B,必修,2.0,86,3.70,,数理科学学院,学科基础课
2,形势与政策,必修,0.0,89,3.70,特色类,马克思主义学院,通识教育课
1,形势与政策,必修,0.0,85,3.30,特色类,马克思主义学院,通识教育课
2,形势与政策,必修,0.0,88,3.70,特色类,马克思主义学院,通识教育课
1,形势与政策,必修,0.0,93,4.00,特色类,马克思主义学院,通识教育课
2,形势与政策,必修,0.0,90,4.00,特色类,马克思主义学院,通识教育课
1,形势与政策,必修,0.0,86,3.70,特色类,马克思主义学院,通识教育课
2,大学物理B-1,必修,2.0,87,3.70,,数理科学学院,学科基础课
1,大学物理实验B,必修,2.0,良好,3.50,,数理科学学院,学科基础课
1,大学物理B-2,必修,2.0,83,3.30,,数理科学学院,学科基础课
2,逻辑思维与推理,选修,2.0,84,3.30,自然类,法学院,通识教育课
1,写作与表达,选修,1.0,84,3.30,人文类,法学院,通识教育课
1,南京文化与历史,选修,2.0,84,3.30,社会类,马克思主义学院,通识教育课
1,程序设计语言（程序设计基础）,选修,4.0,90,4.00,自然类,计算机科学与技术学院,通识教育课
2,旅游实用英语,选修,2.0,87,3.70,大学英语拓展课程,外国语言文学学院,通识教育课
2,英语影视欣赏,选修,2.0,84,3.30,大学英语拓展课程,外国语言文学学院,通识教育课
1,数据库原理及应用开发,必修,3.0,70,2.00,,计算机科学与技术学院,学科基础课
1,电路与电子学,必修,2.0,93,4.00,,计算机科学与技术学院,学科基础课
2,影视与影像,选修,2.0,84,3.30,公共艺术类,艺术设计学院,通识教育课
2,汇编语言程序设计,必修,3.0,85,3.30,,计算机科学与技术学院,学科基础课
2,移动应用开发,必修,2.0,90,4.00,,计算机科学与技术学院,学科基础课
2,计算方法,必修,3.0,66,1.70,,计算机科学与技术学院,学科基础课
2,数据结构与算法,必修,4.0,91,4.00,,计算机科学与技术学院,学科基础课
