date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2021-02-11,101463,0,95274,4836,,4846,1353,34,0,0,0,,0,12
2021-02-12,101496,0,95398,4837,,4854,1261,33,0,0,0,,0,8
2021-02-13,101515,0,95503,4838,,4861,1174,19,0,0,0,,0,7
2021-02-14,101536,0,95589,4838,,4869,1109,21,0,0,0,,0,8
2021-02-15,101561,0,95659,4838,,4885,1064,25,0,0,0,,0,16
2021-02-16,101576,0,95739,4840,,4892,997,15,5,0,0,,0,7
2021-02-17,101604,0,95845,4842,,4903,917,28,1,0,0,,0,11
2021-02-18,101624,0,95926,4842,,4913,856,20,0,0,0,,0,10
2021-02-19,101646,0,95998,4842,,4921,806,22,0,0,0,,0,8
2021-02-20,101669,0,96074,4842,,4928,753,23,2,0,0,,0,7
2021-02-21,101700,0,96134,4842,,4939,724,31,1,0,0,,0,11
2021-02-22,101726,0,96186,4842,,4949,698,26,0,0,0,,0,10
2021-02-23,101750,0,96225,4842,,4961,683,24,3,0,0,,0,12
2021-02-24,101778,0,96361,4843,,4968,574,28,1,0,0,,0,7
2021-02-25,101802,0,96424,4843,,4974,535,24,0,0,0,,0,6
2021-02-26,101836,0,96467,4843,,4984,526,34,1,0,0,,0,10
2021-02-27,101878,0,96522,4843,,4990,513,42,1,0,0,,0,6
2021-02-28,101920,0,96568,4844,,5009,508,42,0,0,0,,0,19
2021-03-01,101945,0,96600,4845,,5020,500,25,0,0,0,,0,11
2021-03-02,101968,0,96640,4845,,5030,483,23,2,0,0,,0,10
2021-03-03,101995,0,96681,4845,,5040,469,27,1,0,0,,0,10
2021-03-04,102015,0,96706,4846,,5049,463,20,2,0,0,,0,9
2021-03-05,102036,0,96732,4846,,5059,458,21,0,0,0,,0,10
2021-03-06,102064,0,96767,4848,,5072,449,28,1,0,0,,0,13
2021-03-07,102101,0,96783,4848,,5091,470,37,0,0,0,,0,19
2021-03-08,102125,0,96801,4848,,5099,476,24,0,0,0,,0,8
2021-03-09,102152,0,96835,4848,,5104,469,27,3,0,0,,0,5
2021-03-10,102172,0,96859,4849,,5115,464,20,0,0,0,,0,11
2021-03-11,102203,0,96887,4849,,5124,467,31,1,0,0,,0,9
2021-03-12,102276,0,96914,4849,,5131,513,73,0,0,0,,0,7
2021-03-13,102333,0,96953,4849,,5141,531,57,1,0,0,,0,10
2021-03-14,102363,0,96990,4849,,5146,524,30,0,0,0,,0,5
2021-03-15,102411,0,97011,4849,,5159,551,48,0,0,0,,0,13
2021-03-16,102433,0,97038,4849,,5163,546,22,4,0,0,,0,4
2021-03-17,102450,0,97079,4849,,5169,522,17,2,0,0,,0,6
2021-03-18,102479,0,97112,4849,,5179,518,29,1,0,0,,0,10
2021-03-19,102502,0,97132,4849,,5183,521,23,1,0,0,,0,4
2021-03-20,102523,0,97169,4849,,5195,505,21,2,0,0,,0,12
2021-03-21,102539,0,97194,4849,,5202,496,16,0,0,0,,0,7
2021-03-22,102566,0,97232,4849,,5211,485,27,0,0,0,,0,9
2021-03-23,102589,0,97283,4850,,5221,456,23,0,0,0,,0,10
2021-03-24,102612,0,97315,4850,,5232,447,23,0,0,0,,0,11
2021-03-25,102635,0,97361,4850,,5243,424,23,1,0,0,,0,11
2021-03-26,102659,0,97406,4851,,5254,402,24,0,0,0,,0,11
2021-03-27,102680,0,97430,4851,,5262,399,21,1,0,0,,0,8
2021-03-28,102698,0,97457,4851,,5277,390,18,0,0,0,,0,15
2021-03-29,102715,0,97483,4851,,5285,381,17,0,0,0,,0,8
2021-03-30,102734,0,97499,4851,,5290,384,19,1,0,0,,0,5
2021-03-31,102762,0,97518,4851,,5300,393,28,0,0,0,,0,10
2021-04-01,102790,0,97541,4851,,5305,398,28,2,0,0,,0,5
2021-04-02,102838,0,97570,4851,,5324,417,48,0,0,0,,0,19
2021-04-03,102867,0,97595,4851,,5335,421,29,2,0,0,,0,11
2021-04-04,102908,0,97615,4851,,5352,442,41,0,0,0,,0,17
2021-04-05,102949,0,97646,4851,,5361,452,41,0,0,0,,0,9
2021-04-06,102970,0,97664,4851,,5371,455,21,0,0,0,,0,10
2021-04-07,103003,0,97681,4851,,5384,471,33,0,0,0,,0,13
2021-04-08,103034,0,97700,4851,,5397,483,31,1,0,0,,0,13
2021-04-09,103066,0,97733,4853,,5411,480,32,0,0,0,,0,14
2021-04-10,103083,0,97749,4853,,5421,481,17,0,0,0,,0,10
2021-04-11,103113,0,97771,4854,,5435,488,30,1,0,0,,0,14
