id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-04-10 00:00:42,湖北,68153,0,63639,4512,0,0,,,,0,,0,0,,0
810000,2021-04-10 00:00:42,香港,11563,0,11186,207,0,0,,,,0,,0,0,,0
440000,2021-04-10 07:40:50,广东,2295,0,2249,8,0,0,,,,0,,0,0,,0
310000,2021-04-10 00:00:41,上海,1916,0,1861,7,0,0,,,,0,,0,0,,0
230000,2021-04-10 00:00:41,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
330000,2021-04-10 00:00:41,浙江,1324,0,1320,1,0,0,,,,0,,0,0,,0
130000,2021-04-10 00:00:41,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-04-10 00:00:41,河南,1311,0,1284,22,0,0,,,,0,,0,0,,0
110000,2021-04-10 00:00:41,北京,1054,0,1038,9,0,0,460.0,0.0,453.0,0,,0,0,,0
700000,2021-04-10 00:00:41,台湾,1054,0,1018,10,0,0,,,,0,,0,0,,0
430000,2021-04-10 00:00:42,湖南,1044,0,1033,4,0,0,,,,0,,0,0,,0
340000,2021-04-10 00:00:41,安徽,994,0,988,6,0,0,,,,0,,0,0,,0
650000,2021-04-10 00:00:41,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
510000,2021-04-10 00:00:41,四川,954,0,933,3,0,0,,,,0,,0,0,,0
360000,2021-04-10 00:00:41,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-04-10 00:00:42,山东,871,0,862,7,0,0,,,,0,,0,0,,0
320000,2021-04-10 00:00:41,江苏,716,0,707,0,0,0,,,,0,,0,0,,0
500000,2021-04-10 00:00:41,重庆,591,0,585,6,0,0,,,,0,,0,0,,0
610000,2021-04-10 00:00:41,陕西,575,0,560,3,0,0,,,,0,,0,0,,0
350000,2021-04-10 00:00:41,福建,574,0,554,1,0,0,,,,0,,0,0,,0
220000,2021-04-10 00:00:41,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-04-10 00:00:42,辽宁,407,0,405,2,0,0,,,,0,,0,0,,0
150000,2021-04-10 00:00:42,内蒙古,377,0,370,1,0,0,,,,0,,0,0,,0
120000,2021-04-10 00:00:41,天津,375,0,366,3,0,0,,,,0,,0,0,,0
530000,2021-04-10 07:15:50,云南,321,0,231,2,0,0,,,,0,,0,0,,0
450000,2021-04-10 00:00:41,广西,267,0,265,2,0,0,,,,0,,0,0,,0
140000,2021-04-10 00:00:41,山西,246,0,240,0,0,0,,,,0,,0,0,,0
620000,2021-04-10 00:00:41,甘肃,193,0,189,2,0,0,,,,0,,0,0,,0
460000,2021-04-10 00:00:41,海南,171,0,165,6,0,0,,,,0,,0,0,,0
520000,2021-04-10 00:00:41,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-04-10 00:00:41,宁夏,75,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-04-10 00:00:41,澳门,49,0,48,0,0,0,,,,0,,0,0,,0
630000,2021-04-10 00:00:41,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-04-10 00:00:41,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
