id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
C202006211224112,2021-06-03 08:51:06,境外输入,1040,0,1000,0,0,2,,,,,
440100,2021-06-03 08:51:05,广州,433,0,376,1,0,15,,,,,
440300,2021-06-03 00:00:53,深圳,423,0,420,3,0,0,,,,,
441900,2021-06-03 00:00:52,东莞,99,0,98,1,0,0,,,,,
440400,2021-06-03 00:00:53,珠海,98,0,97,1,0,0,,,,,
440600,2021-06-03 08:51:05,佛山,95,0,89,0,0,0,,,,,
442000,2021-06-03 00:00:53,中山,67,0,67,0,0,0,,,,,
441300,2021-06-03 00:00:52,惠州,62,0,62,0,0,0,,,,,
440500,2021-06-03 00:00:53,汕头,25,0,25,0,0,0,,,,,
440700,2021-06-03 00:00:52,江门,23,0,23,0,0,0,,,,,
440800,2021-06-03 00:00:52,湛江,22,0,22,0,0,0,,,,,
441200,2021-06-03 00:00:53,肇庆,19,0,18,1,0,0,,,,,
441400,2021-06-03 00:00:53,梅州,16,0,16,0,0,0,,,,,
441700,2021-06-03 00:00:52,阳江,14,0,14,0,0,0,,,,,
440900,2021-06-03 00:00:52,茂名,14,0,14,0,0,0,,,,,
441800,2021-06-03 00:00:53,清远,12,0,12,0,0,0,,,,,
440200,2021-06-03 00:00:53,韶关,10,0,9,1,0,0,,,,,
445200,2021-06-03 00:00:53,揭阳,10,0,10,0,0,0,,,,,
441500,2021-06-03 00:00:53,汕尾,6,0,6,0,0,0,,,,,
441600,2021-06-03 00:00:53,河源,5,0,5,0,0,0,,,,,
445100,2021-06-03 00:00:53,潮州,5,0,5,0,0,0,,,,,
445300,2020-09-13 08:25:22,云浮,0,0,0,0,0,0,,0.0,0.0,,
924400,2021-06-03 00:00:53,未明确地区,0,0,0,0,0,0,,,,,
9532564,2020-09-13 08:25:22,境外输入人员,0,0,0,0,0,0,,0.0,0.0,,
