id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-05-23 08:35:36,突尼斯,334099,0,295170,12182,0,0.0,1266.0,,986.0,41.0,,,
9507896,2021-05-23 00:00:30,塞尔维亚,709673,0,0,6766,0,0.0,404.0,,0.0,0.0,,,
0,2021-05-23 08:40:45,中国,106715,0,98754,4863,0,5952.0,743.0,,8.0,2.0,,733.0,18.0
1,2021-05-23 12:20:47,日本本土,715880,0,628366,12203,0,0.0,9.0,,0.0,7.0,,,
2,2021-05-23 00:00:30,泰国,126118,0,26873,759,0,0.0,3052.0,,0.0,0.0,,,
3,2021-05-23 08:35:36,新加坡,61799,0,61277,32,0,0.0,29.0,,35.0,0.0,,,
4,2021-05-23 11:15:43,韩国,135929,0,125881,1931,0,0.0,585.0,,849.0,5.0,,,
5,2021-05-23 11:15:43,澳大利亚,30007,0,23539,910,0,0.0,3.0,,5.0,0.0,,,
6,2021-05-23 13:25:43,德国,3653019,0,3398700,87385,0,0.0,1082.0,,8200.0,65.0,,,
7,2021-05-23 09:50:44,美国,33882333,0,27471242,603876,0,0.0,19639.0,,71813.0,468.0,,,
8,2021-05-23 00:00:30,马来西亚,505115,0,449234,2199,0,0.0,6320.0,,0.0,0.0,,,
9,2021-05-23 13:25:43,越南,5119,0,2721,42,0,0.0,33.0,,0.0,1.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-05-23 08:35:36,肯尼亚,168108,0,114452,3049,0,0.0,573.0,,58.0,6.0,,,
826,2021-05-23 00:00:30,伊朗,2823887,0,2319746,78381,0,0.0,8005.0,,0.0,0.0,,,
827,2021-05-23 08:35:36,以色列,839308,0,832299,6397,0,0.0,18.0,,20.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-05-23 08:35:36,黎巴嫩,538218,0,508930,7670,0,0.0,331.0,,1506.0,6.0,,,
833,2021-05-23 00:00:30,克罗地亚,353735,0,341491,7883,0,0.0,518.0,,0.0,0.0,,,
834,2021-05-23 00:00:30,奥地利,640876,0,621998,10541,0,0.0,583.0,,0.0,0.0,,,
835,2021-05-23 00:00:30,瑞士,687353,0,317600,10775,0,0.0,1201.0,,0.0,0.0,,,
839,2021-05-23 08:35:36,希腊,388929,0,93764,11734,0,0.0,3485.0,,0.0,0.0,,,
95800,2021-05-23 00:00:30,毛里求斯,1293,0,1161,17,0,0.0,1.0,,0.0,0.0,,,
845,2021-05-23 00:00:30,爱沙尼亚,128489,0,120625,1240,0,0.0,180.0,,0.0,0.0,,,
846,2021-05-23 00:00:30,北马其顿,155028,0,146800,5296,0,0.0,91.0,,0.0,0.0,,,
850,2021-05-23 00:00:30,白俄罗斯,384773,0,374854,2761,0,0.0,1471.0,,0.0,0.0,,,
851,2021-05-23 00:00:30,立陶宛,270376,0,247425,4173,0,0.0,1013.0,,0.0,0.0,,,
852,2021-05-23 00:00:30,阿塞拜疆,332235,0,319991,4851,0,0.0,352.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-05-23 00:00:30,乌克兰,2237240,0,1994944,51260,0,0.0,4730.0,,0.0,0.0,,,
874,2021-05-23 00:00:30,波兰,2864546,0,2621686,72882,0,0.0,1515.0,,0.0,0.0,,,
879,2021-05-23 00:00:30,波黑,203150,0,172005,9108,0,0.0,132.0,,0.0,0.0,,,
80902,2020-06-12 17:02:32,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,2021-05-23 08:35:36,南非,1632571,0,1537430,55772,0,0.0,4236.0,,3080.0,53.0,,,
95198,2020-06-15 14:48:50,布隆迪,85,0,45,1,0,,,,,,,,
95215522,2020-06-15 07:27:53,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,2021-05-23 00:00:30,马耳他,30499,0,29998,417,0,0.0,2.0,,0.0,0.0,,,
896,2021-05-23 08:35:35,摩尔多瓦,254601,0,246332,6072,0,0.0,102.0,,252.0,5.0,,,
897,2021-05-23 08:35:36,保加利亚,416565,0,373202,17487,0,0.0,148.0,,234.0,13.0,,,
898,2021-05-23 00:00:30,孟加拉,787726,0,729798,12348,0,0.0,1028.0,,0.0,0.0,,,
899,2020-06-15 10:20:56,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,2021-05-23 08:35:36,巴勒斯坦,305201,0,297201,3459,0,0.0,233.0,,300.0,7.0,,,
95kml,2020-06-15 13:47:09,科摩罗,176,0,114,2,0,,,,,,,,
953333,2021-05-23 10:10:39,阿富汗,65486,0,55889,2792,0,0.0,406.0,,3.0,10.0,,,
95888822,2021-05-23 00:00:30,沙特阿拉伯,439847,0,423795,7237,0,0.0,1142.0,,0.0,0.0,,,
9511123,2021-05-23 11:15:43,新西兰,2668,0,2615,26,0,0.0,6.0,,2.0,0.0,,,
95333,2021-05-23 00:00:30,塔吉克斯坦,13308,0,13218,90,0,0.0,0.0,,0.0,0.0,,,
83356,2020-06-15 13:25:33,泽西岛,313,0,292,15,0,0.0,,,,,,,
954467,2020-06-15 13:51:09,叙利亚,177,0,74,6,0,,,0.0,,,0.0,,
95327,2021-05-23 09:10:36,巴拿马,373774,0,361532,6328,0,0.0,466.0,,421.0,7.0,,,
95329,2021-05-23 08:35:36,古巴,131832,0,124020,863,0,0.0,1289.0,,1256.0,14.0,,,
9511111,2021-05-23 09:10:36,尼日利亚,165979,0,156468,2067,0,0.0,35.0,,6.0,0.0,,,
95858585,2021-05-23 08:35:36,摩洛哥,516812,0,505050,9119,0,0.0,363.0,,293.0,4.0,,,
