date,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
2020-01-28,57,0,0,0,,0,0,0,0,0,0,,0,0
2020-01-29,74,0,0,0,,0,0,13,0,0,0,,0,0
2020-01-30,98,0,0,0,,0,0,22,0,0,0,,0,0
2020-01-31,124,0,0,0,,0,0,20,0,0,0,,0,0
2020-02-01,139,0,0,0,,0,0,13,0,0,0,,0,0
2020-02-02,149,0,0,0,,0,0,10,0,0,0,,0,0
2020-02-03,154,0,0,0,,0,0,5,0,0,0,,0,0
2020-02-04,177,0,0,0,,0,0,22,0,0,0,,0,0
2020-02-05,201,0,0,0,,0,0,14,0,0,0,,0,0
2020-02-06,225,0,0,0,,0,0,24,0,0,0,,0,0
2020-02-07,273,0,0,0,,0,0,48,0,0,0,,0,0
2020-02-08,299,0,0,0,,0,0,26,0,0,0,,0,0
2020-02-09,313,0,0,0,,0,0,14,0,0,0,,0,0
2020-02-10,385,0,0,0,,0,0,72,0,0,0,,0,0
2020-02-11,397,0,0,0,,0,0,12,0,0,0,,0,0
2020-02-12,444,0,0,0,,0,0,47,0,0,0,,0,0
2020-02-13,505,0,0,0,,0,0,61,0,0,0,,0,0
2020-02-14,516,0,0,0,,0,0,11,0,0,0,,0,0
2020-02-15,601,0,0,0,,0,0,85,0,0,0,,0,0
2020-02-16,687,0,0,0,,0,0,78,0,0,0,,0,0
2020-02-17,800,0,0,0,,0,0,104,0,0,0,,0,0
2020-02-18,904,0,0,0,,0,0,104,0,0,0,,0,0
2020-02-19,1018,0,0,0,,0,0,104,0,0,0,,0,0
2020-02-20,1096,0,0,0,,0,0,78,0,0,0,,0,0
2020-02-21,1231,0,0,0,,0,0,133,0,0,0,,0,0
2020-02-22,1528,0,0,0,,0,0,156,0,0,0,,0,0
2020-02-23,1895,0,0,0,,0,0,265,0,0,0,,0,0
2020-02-24,2286,0,0,0,,0,0,368,0,0,0,,0,0
2020-02-25,2575,0,0,0,,0,0,224,0,0,0,,0,0
2020-02-26,3085,0,0,0,,0,0,492,0,0,0,,0,0
2020-02-27,3945,0,0,0,,0,0,863,0,0,0,,0,0
2020-02-28,4947,0,0,0,,0,0,998,0,0,0,,0,0
2020-02-29,6192,0,0,0,,0,0,1349,0,0,0,,0,0
2020-03-01,7342,0,0,0,,0,0,1033,0,0,0,,0,0
2020-03-02,9628,0,0,0,,0,0,2285,0,0,0,,0,0
2020-03-03,12047,0,0,0,,0,0,2461,0,0,0,,0,0
2020-03-04,13897,0,0,0,,0,0,2226,0,0,0,,0,0
2020-03-05,16234,0,0,0,,0,0,2572,0,0,0,,0,0
2020-03-06,19378,0,0,0,,0,0,3691,0,0,0,,0,0
2020-03-07,22903,0,0,0,,0,0,3443,0,0,0,,0,0
2020-03-08,26959,0,0,0,,0,0,3403,0,0,0,,0,0
2020-03-09,30814,0,0,0,,0,0,4913,0,0,0,,0,0
2020-03-10,35796,0,0,0,,0,0,5018,0,0,0,,0,0
2020-03-11,41212,0,0,0,,0,0,5598,0,0,0,,0,0
2020-03-12,48724,0,0,0,,0,0,7824,0,0,0,,0,0
2020-03-13,58493,0,0,0,,0,0,9780,0,0,0,,0,0
2020-03-14,67414,0,0,0,,0,0,9359,0,0,0,,0,0
2020-03-15,79559,0,0,0,,0,0,13683,0,0,0,,0,0
2020-03-16,92093,0,0,0,,0,0,16374,0,0,0,,0,0
2020-03-17,106167,0,0,0,,0,0,14567,0,0,0,,0,0
2020-03-18,122946,0,0,0,,0,0,17844,0,0,0,,0,0
2020-03-19,147281,0,0,0,,0,0,24409,0,0,0,,0,0
