city_name,province_name,value
黄冈市,湖北省,21.15
孝感市,湖北省,14.94
咸宁市,湖北省,7.35
荆州市,湖北省,7.14
恩施土家族苗族自治州,湖北省,6.55
宜昌市,湖北省,5.36
十堰市,湖北省,4.56
鄂州市,湖北省,4.49
襄阳市,湖北省,3.57
黄石市,湖北省,3.17
仙桃市,湖北省,3.14
荆门市,湖北省,2.51
天门市,湖北省,2.13
随州市,湖北省,1.97
潜江市,湖北省,1.13
南阳市,河南省,0.48
长沙市,湖南省,0.46
株洲市,湖南省,0.45
岳阳市,湖南省,0.45
北京市,北京市,0.41
郑州市,河南省,0.38
上海市,上海市,0.34
九江市,江西省,0.33
深圳市,广东省,0.32
信阳市,河南省,0.26
重庆市,重庆市,0.21
无锡市,江苏省,0.19
合肥市,安徽省,0.19
阜阳市,安徽省,0.19
驻马店市,河南省,0.17
西安市,陕西省,0.17
成都市,四川省,0.14
南京市,江苏省,0.14
芜湖市,安徽省,0.14
广州市,广东省,0.14
杭州市,浙江省,0.14
南昌市,江西省,0.13
衡阳市,湖南省,0.11
神农架林区,湖北省,0.11
金华市,浙江省,0.11
安庆市,安徽省,0.1
湘潭市,湖南省,0.1
潍坊市,山东省,0.1
福州市,福建省,0.1
佛山市,广东省,0.09
茂名市,广东省,0.08
苏州市,江苏省,0.08
保定市,河北省,0.08
泉州市,福建省,0.08
天津市,天津市,0.08
商丘市,河南省,0.08
临沂市,山东省,0.07
许昌市,河南省,0.07
池州市,安徽省,0.07
咸阳市,陕西省,0.07
益阳市,湖南省,0.05
东莞市,广东省,0.05
温州市,浙江省,0.05
兰州市,甘肃省,0.05
桂林市,广西壮族自治区,0.05
大连市,辽宁省,0.05
昆明市,云南省,0.05
宁波市,浙江省,0.05
常州市,江苏省,0.05
洛阳市,河南省,0.04
安康市,陕西省,0.04
长春市,吉林省,0.04
邯郸市,河北省,0.04
周口市,河南省,0.04
济宁市,山东省,0.04
滨州市,山东省,0.04
徐州市,江苏省,0.04
沈阳市,辽宁省,0.04
郴州市,湖南省,0.03
厦门市,福建省,0.03
台州市,浙江省,0.03
江门市,广东省,0.03
廊坊市,河北省,0.03
南通市,江苏省,0.03
宿迁市,江苏省,0.03
湛江市,广东省,0.03
中山市,广东省,0.03
惠州市,广东省,0.03
开封市,河南省,0.03
漯河市,河南省,0.03
菏泽市,山东省,0.03
蚌埠市,安徽省,0.03
青岛市,山东省,0.03
嘉兴市,浙江省,0.03
贵阳市,贵州省,0.03
常德市,湖南省,0.02
阜新市,辽宁省,0.02
毕节市,贵州省,0.02
济南市,山东省,0.02
永州市,湖南省,0.02
吉安市,江西省,0.02
庆阳市,甘肃省,0.02
营口市,辽宁省,0.02
扬州市,江苏省,0.02
德州市,山东省,0.02
